Personal Name	Country	Characters	Reference
Amy Hānaialiʻi	US	U+0101, U+02BB	http://www.amyhanaialiigilliom.com/
Antonia Ax:son Johnson	SE	U+003A	http://www.axeljohnson.com/a-family-company/antonias-story
B Strand	US	length	https://gist.github.com/strand/4498064
Darren QX Bean!	US	U+0021	http://members.calbar.ca.gov/fal/Member/Detail/240959
Elliot S! Maggin	US	U+0021	http://elliot.maggin.com/
Georg J:son Karlin	SE	U+003A	https://sv.wikipedia.org/wiki/Georg_J:son_Karlin
Hazel UbOtDDstarL Garfield-Lichy	UK	U+002D, casing	http://i100.io/MkLJg1M
Ingy döt Net	US	U+00F6, casing	http://ingy.net/
IZ Kamakawiwoʻole	US	U+02BB, casing	http://www.izhawaii.com/
Johnny Mháirtín Learaí Mac Donnchadha	IE	U+00E1, U+00E9, many parts	https://en.wikipedia.org/wiki/Corn_U%C3%AD_Riada
Luc(as) de Groot	NL	U+0028, U+0029, casing	http://www.lucasfonts.com/about/
Máire Mhac an tSaoi	IE	U+00E1, casing	https://en.wikipedia.org/wiki/M%C3%A1ire_Mhac_an_tSaoi
Scott Shaw!	US	U+0021	https://twitter.com/scottshawtoons
Seán 'ac Dhonncha	IE	U+00E9, casing, leading punctuation	https://en.wikipedia.org/wiki/Se%C3%A1n_%27ac_Dhonncha
